solver, length, nbInv, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverNodes, SolverSatisfiable, SolverSolutionsFound, SolverTimeOut, TotalTime
minionpar, 01, 000, 0, 0, 0.05, 1, 1, 1, 0, NA
minionpar, 02, 000, 0, 0, 0.062, 1, 1, 1, 0, NA
minionpar, 02, 001, 0, 0, 0.063, 1, 1, 1, 0, NA
minionpar, 03, 000, 0, 0, 0.082, 1, 1, 1, 0, NA
minionpar, 03, 001, 0, 0, 0.081, 3, 1, 2, 0, NA
minionpar, 03, 002, 0, 0, 0.083, 4, 1, 2, 0, NA
minionpar, 03, 003, 0, 0, 0.083, 1, 1, 1, 0, NA
minionpar, 04, 000, 0, 0, 0.122, 1, 1, 1, 0, NA
minionpar, 04, 001, 0, 0, 0.115, 4, 1, 2, 0, NA
minionpar, 04, 002, 0, 0, 0.116, 14, 1, 5, 0, NA
minionpar, 04, 003, 0, 0, 0.117, 19, 1, 6, 0, NA
minionpar, 04, 004, 0, 0, 0.118, 13, 1, 5, 0, NA
minionpar, 04, 005, 0, 0, 0.119, 6, 1, 3, 0, NA
minionpar, 04, 006, 0, 0, 0.114, 1, 1, 1, 0, NA
minionpar, 05, 000, 0, 0, 0.163, 1, 1, 1, 0, NA
minionpar, 05, 001, 0, 0, 0.163, 4, 1, 2, 0, NA
minionpar, 05, 002, 0, 0, 0.171, 19, 1, 5, 0, NA
minionpar, 05, 003, 0, 0, 0.185, 43, 1, 10, 0, NA
minionpar, 05, 004, 0, 0, 0.175, 84, 1, 16, 0, NA
minionpar, 05, 005, 0, 0, 0.174, 95, 1, 20, 0, NA
minionpar, 05, 006, 0, 0, 0.174, 86, 1, 20, 0, NA
minionpar, 05, 007, 0, 0, 0.182, 51, 1, 15, 0, NA
minionpar, 05, 008, 0, 0, 0.174, 25, 1, 9, 0, NA
minionpar, 05, 009, 0, 0, 0.168, 8, 1, 4, 0, NA
